name,area_name,region_name,id,usual_resident_male,usual_resident_female,usual_resident_0_4,usual_resident_5_9,usual_resident_10_14,usual_resident_15_19,usual_resident_20_24,usual_resident_25_29,usual_resident_30_34,usual_resident_35_39,usual_resident_40_44,usual_resident_45_49,usual_resident_50_54,usual_resident_55_59,usual_resident_60_64,usual_resident_65_over,language_english,language_maori,language_samoan,language_nz_sign,language_other,language_none,language_total_responses,religion_none,religion_buddhist,religion_christian,religion_hindu,religion_islam_muslim,religion_judaism_jewish,religion_maori_christian,religion_spiritualism_and_new_age,religion_other,religion_object_to_answering,smoker_regular,smoker_ex,smoker_never,income_total_under_5000,income_total_5000_10000,income_total_10000_20000,income_total_20000_30000,income_total_30000_50000,income_total_50000_more,income_source_wages_salary_bonuses,income_source_self_employment_business,income_source_investment_dividends,income_source_work_accident_insurer,income_source_nz_super_veterans_pension,income_source_other_super_pensions_annuities,income_source_unemployed_benefit,income_source_sickness_benefit,income_source_domestic_purposes_benefit,income_source_invalids_benefit,income_source_student_allowance,income_source_govt_payments_pension,income_source_other,income_source_none,weekly_rent_under_100,weekly_rent_100_149,weekly_rent_150_199,weekly_rent_200_249,weekly_rent_250_299,weekly_rent_300_349,weekly_rent_350_over,dwelling_owned_or_partly_owned,dwelling_not_owned,dwelling_held_in_family_trust,dwelling_rented,usual_resident_total,median_income,weekly_rent_median,dwellings_total
Awanui,,Northland Region,500100,156,180,24,18,33,39,21,18,6,18,30,21,24,24,27,36,288,54,0,6,6,0,291,78,3,132,3,0,0,39,0,3,30,78,48,99,36,18,45,39,42,36,117,27,12,0,27,3,18,9,18,9,3,15,3,27,3,9,12,9,3,3,3,54,48,6,45,339,21800,200,123
Karikari Peninsula-Maungataniwha,,Northland Region,500202,2172,2175,270,276,369,234,165,144,162,198,309,321,372,378,414,732,3927,426,15,24,213,54,4017,1671,39,1782,12,9,9,120,30,27,321,684,960,1395,405,246,885,549,519,408,1254,690,549,51,660,78,189,129,147,159,51,138,39,204,24,42,60,60,54,15,6,1011,399,162,276,4344,19600,200,1722
Taipa Bay-Mangonui,,Northland Region,500203,795,870,93,108,87,66,54,42,69,75,87,81,126,135,192,456,1539,102,3,0,111,15,1563,609,18,744,6,3,3,30,6,15,126,201,411,627,132,66,366,249,216,216,438,255,342,12,408,81,42,39,63,57,18,45,15,72,9,18,48,63,66,18,9,342,285,87,231,1665,21800,210,768
Herekino,,Northland Region,500204,1038,978,138,183,180,138,87,66,90,111,135,147,180,162,138,267,1785,294,3,6,57,27,1839,477,9,1056,3,3,6,147,12,12,141,291,372,645,204,69,312,186,288,240,660,279,201,27,234,18,72,42,51,60,30,69,15,111,6,21,42,33,15,0,6,396,183,66,132,2013,23700,180,723
Ahipara,,Northland Region,500205,531,534,72,87,90,63,48,54,27,57,75,90,90,90,78,153,891,156,0,0,30,12,906,273,6,483,3,0,6,66,6,6,60,162,168,342,84,45,171,129,126,114,342,105,120,9,126,15,54,24,39,18,12,27,15,42,6,12,21,24,24,9,9,171,123,39,105,1065,22100,200,387
North Cape,,Northland Region,500206,231,210,36,30,42,27,24,15,18,15,39,27,36,30,30,69,378,159,0,0,3,3,393,36,0,147,0,0,3,195,3,3,12,96,63,126,39,27,87,42,48,33,138,30,12,0,57,3,21,15,21,15,0,15,3,21,24,15,0,6,0,0,0,63,63,21,45,441,17900,100,168
Houhora,,Northland Region,500207,450,483,42,66,63,39,27,21,27,48,66,63,69,93,75,228,777,90,0,0,24,3,789,258,0,414,0,3,0,69,0,0,39,132,201,288,66,45,186,114,123,87,270,141,123,12,180,18,33,18,24,21,9,18,6,30,6,18,18,27,12,0,0,186,117,33,90,930,20800,160,393
Motutangi-Kareponia,,Northland Region,500208,882,909,138,147,162,111,75,75,69,99,108,111,165,135,135,261,1509,225,9,6,51,18,1542,498,9,834,0,0,0,93,6,18,102,234,303,567,138,63,243,204,240,210,573,270,165,18,222,18,51,30,51,48,12,51,12,63,9,15,30,33,15,3,0,345,159,48,117,1794,24500,200,654
Kaitaia West,,Northland Region,500301,1470,1626,273,258,252,255,153,159,132,135,183,183,159,180,156,618,2580,480,6,3,132,36,2664,648,6,1485,30,0,9,267,6,12,204,501,498,873,291,129,531,366,315,210,765,141,186,18,510,60,147,84,150,126,33,84,24,168,72,66,69,111,81,9,3,408,504,36,462,3093,19500,200,1131
Kaitaia East,,Northland Region,500302,837,960,135,180,147,132,117,90,87,84,114,114,138,108,81,276,1347,258,6,9,42,18,1389,363,9,768,12,0,0,120,6,3,102,291,240,465,165,60,282,168,174,132,441,63,108,12,219,27,84,45,87,75,18,45,15,93,33,24,30,66,60,3,0,234,264,15,234,1797,19400,220,660
Kaeo,,Northland Region,500401,228,228,36,30,39,30,27,15,9,18,27,27,33,30,30,96,390,78,0,3,6,9,399,153,0,159,0,0,3,60,3,0,33,81,90,126,48,27,78,54,54,24,120,36,30,6,75,6,24,15,21,15,0,6,3,27,6,9,15,9,6,3,3,81,63,6,54,453,17900,190,165
Mangapa-Matauri Bay,,Northland Region,500402,1272,1245,180,204,213,132,75,84,90,141,162,174,195,207,231,429,2274,396,0,15,96,30,2328,957,9,978,3,0,3,141,15,24,204,390,537,768,228,108,465,330,291,264,720,396,297,33,387,42,78,66,81,78,21,81,24,123,18,36,39,42,18,9,3,513,273,111,174,2517,21000,180,981
Kohukohu,,Northland Region,500500,75,90,12,15,15,6,3,3,3,12,9,9,12,18,21,36,153,36,3,3,9,3,156,54,3,72,0,0,3,6,0,0,21,33,27,54,12,12,48,21,6,6,36,24,15,0,30,3,9,9,6,12,3,3,3,6,3,9,6,0,0,0,3,42,21,9,18,168,15300,*,81
Rawene,,Northland Region,500600,222,249,33,45,36,27,12,18,18,18,21,33,30,33,45,96,432,123,12,3,21,6,444,132,0,219,3,0,0,21,3,6,45,81,93,153,48,24,102,54,42,42,120,42,39,9,81,12,15,21,30,24,9,6,3,21,12,18,6,18,12,0,0,81,84,18,69,471,17500,230,189
Omapere and Opononi,,Northland Region,500700,192,222,30,30,30,18,27,18,15,27,18,33,21,27,42,81,336,99,0,3,18,6,348,99,0,180,3,0,3,15,3,0,39,87,63,111,45,24,84,51,24,21,90,36,21,0,57,9,21,24,27,12,9,15,6,27,15,9,18,12,6,0,3,51,78,18,69,414,16300,150,183
Hokianga North,,Northland Region,500801,849,837,123,108,147,111,75,42,60,75,111,126,144,132,153,291,1446,432,3,9,27,15,1497,333,3,906,3,0,3,99,9,6,111,375,273,450,177,108,366,165,156,96,366,204,87,18,243,18,87,84,72,75,48,39,18,99,33,30,21,21,3,0,0,321,198,66,123,1686,15700,100,660
Hokianga South,,Northland Region,500802,1299,1272,171,195,216,171,114,96,78,117,162,195,249,207,192,408,2214,669,15,21,75,33,2283,741,12,1149,3,3,0,105,15,18,222,471,459,750,294,162,594,210,222,144,531,306,162,24,339,42,147,135,123,135,42,66,24,171,27,30,39,33,9,3,3,501,267,90,159,2568,15900,150,987
