Northland Region,,,1,73599,78093,10659,11019,11070,9630,7056,6657,6591,7902,9834,10632,11502,10914,10464,27765,134811,12609,405,774,8373,1884,138027,13935,5985,24963,16941,20955,20202,1491,1533,2175,2820,2937,2043,1413,27861,18066,7581,15045,151689,23400,230,58947
Auckland Region,,,2,687492,728055,102357,97593,96405,102918,108222,99939,98541,95538,106218,102381,95112,78960,68208,163155,1233633,30924,58200,5259,344454,25857,1316262,181011,55425,154389,115749,203670,293103,11328,7095,4857,8037,14382,22512,79827,201408,168708,67533,154347,1415550,29600,350,469500
Waikato Region,,,3,196863,206778,29496,29043,28944,28488,26859,23544,22869,24201,27924,27510,27978,24852,22356,59574,367689,21303,2013,1746,35832,6258,378840,39267,15009,55281,40590,63084,71499,3714,4308,6183,6861,8217,6996,6684,68193,52539,19977,44589,403638,27900,250,150174
Bay of Plenty Region,,,4,128874,138867,18633,19359,19734,17373,14220,13263,13446,15645,18363,18345,19119,17421,15954,46869,241422,21087,1035,1080,19434,3684,248556,23958,9798,39750,30357,40620,42549,1839,2544,3435,4398,5850,5070,5214,45453,33453,15981,29280,267744,26200,260,102270
Gisborne Region,,,5,21093,22560,3471,3672,3588,3051,2502,2298,2286,2526,2880,2856,3048,2820,2535,6126,38868,6243,126,192,1914,615,40050,3972,1722,6321,4770,6285,5631,717,708,807,918,1038,405,258,7080,6003,1629,5118,43653,24400,200,15993
Hawke's Bay Region,,,6,72597,78582,10878,10839,11178,10092,7935,7212,7398,8793,10398,10512,11127,9870,9489,25461,137520,9336,1935,897,8655,2115,141354,13611,5433,22527,17472,23802,22914,2061,1491,2022,2619,2940,2490,1770,26919,18417,8703,16122,151179,26100,240,57642
Taranaki Region,,,7,53598,56010,7875,7602,7662,6846,6075,6015,6123,6726,7725,7497,8010,7170,6480,17802,100809,3852,270,543,5631,1578,102957,9429,3642,15177,11616,17388,20541,1083,1188,1479,1899,1812,1269,1266,21084,12951,6405,10395,109608,29100,230,43011
Manawatu-Wanganui Region,,,8,107820,114852,15273,15003,15270,16023,15195,12318,11634,12354,14304,14982,16005,14229,12951,37125,204237,10425,1716,1536,14883,3093,209439,21327,9276,35160,25620,35415,33333,2808,3465,5517,5013,3849,1686,1395,42228,28401,11067,24624,222672,25000,200,87003
Wellington Region,,,9,227559,243756,31353,30603,30051,32892,35412,30432,31092,32178,35628,34359,33126,27552,24369,62268,430104,15618,14691,3504,66282,8577,445155,47616,18198,55650,43071,69978,113982,3957,3240,3918,6111,7416,7353,20064,86346,58515,21933,53931,471315,32700,300,176133
Tasman Region,,,16,23241,23913,2736,3303,3393,2811,1824,1752,2043,2676,3651,3699,3774,3585,3441,8463,44313,669,69,219,2937,609,45093,4236,1884,7656,6096,7878,7314,219,420,447,471,636,606,759,10194,4353,2850,3678,47157,25700,260,18261
Nelson Region,,,17,22326,24111,2835,2907,3003,2787,2334,2373,2439,2844,3429,3477,3711,3237,2949,8109,43179,1017,147,255,3984,639,44214,4068,1710,7263,5895,8199,7794,405,273,393,555,903,993,1431,9651,5598,2445,5103,46437,27200,300,18543
Marlborough Region,,,18,21240,22176,2676,2559,2514,2373,1902,2103,2223,2505,2874,3051,3363,3162,3204,8907,40317,888,183,201,2781,528,41112,3456,1527,6735,5667,7758,7404,288,393,402,879,978,741,384,9252,4863,2607,4191,43416,27900,250,17673
West Coast Region,,,12,16185,15963,2136,1977,2037,1824,1680,1620,1644,1863,2316,2565,2775,2421,2106,5184,29439,528,51,117,1440,390,29901,2586,1251,5298,3411,4842,5844,459,441,561,549,498,255,186,7176,3885,1116,3069,32148,26900,200,13287
Canterbury Region,,,13,266349,273087,33507,33327,33858,35967,36912,31764,31209,33858,39837,39408,39774,34704,31467,83844,498843,8643,4476,2763,51495,7725,512184,48678,20874,74943,57204,92217,109980,4506,4803,4398,6714,8523,8769,14499,106314,61671,26262,54084,539436,30100,280,204843
Otago Region,,,14,98700,103767,11679,11484,11754,16701,17034,11448,11601,12111,13941,13674,14436,13080,11838,31695,187182,2994,708,819,17793,2697,190950,21876,9960,29868,22605,33771,35412,1533,2442,2553,3306,3678,2310,4434,37221,23841,13461,20880,202467,26300,250,78912
Southland Region,,,15,46164,47178,6444,6417,6336,5961,5490,5364,5385,5766,6384,6636,7065,6168,5310,14616,87054,2205,384,327,4242,1248,88695,7416,3237,12996,10857,16335,17112,1164,1533,2106,1956,1080,297,180,18963,10743,5709,8625,93342,29500,180,37449
Area Outside Region,,,99,315,285,39,54,33,24,36,33,30,39,51,45,66,45,39,72,558,51,3,3,15,12,570,30,39,60,75,84,132,15,24,6,9,3,3,0,105,105,21,66,603,31300,130,249
